PROVINCIA,CIUDAD
AZUAY,CUENCA
AZUAY,BAÑOS
AZUAY,CUMBE
AZUAY,CHAUCHA
AZUAY,CHECA (JIDCAY) 
AZUAY,CHIQUINTAD
AZUAY,LLACAO
AZUAY,MOLLETURO
AZUAY,NULTI
AZUAY,OCTAVIO CORDERO PALACIOS (SANTA ROSA) 
AZUAY,PACCHA
AZUAY,QUINGEO
AZUAY,RICAURTE
AZUAY,SAN JOAQUIN
AZUAY,SANTA ANA
AZUAY,SAYAUSI
AZUAY,SIDCAY
AZUAY,SININCAY
AZUAY,TARQUI
AZUAY,TURI
AZUAY,VALLE
AZUAY,VICTORIA DEL PORTETE (IRQUIS)
AZUAY,GIRON
AZUAY,ASUNCION
AZUAY,SAN GERARDO
AZUAY,GUALACEO
AZUAY,DANIEL CORDOVA TORAL (EL ORIENTE) 
AZUAY,JADAN
AZUAY,MARIANO MORENO
AZUAY,REMIGIO CRESPO TORAL (GULAG)
AZUAY,SAN JUAN
AZUAY,ZHIDMAD
AZUAY,LUIS CORDERO VEGA
AZUAY,SIMON BOLIVAR (CAB. EN GAÑANZOL)
AZUAY, NABON
AZUAY,COCHAPATA
AZUAY,EL PROGRESO (CAB.EN ZHOTA) 
AZUAY,LAS NIEVES (CHAYA)
AZUAY,PAUTE
AZUAY,BULAN (JOSE VICTOR IZQUIERDO) 
AZUAY,CHICAN (GUILLERMO ORTEGA) 
AZUAY,EL CABO  
AZUAY,GUARAINAG
AZUAY,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) 
AZUAY,TOMEBAMBA
AZUAY,DUG DUG
AZUAY, PUCARA
AZUAY,SAN RAFAEL DE SHARUG
AZUAY, SAN FERNANDO
AZUAY,CHUMBLIN
AZUAY, SANTA ISABEL
AZUAY,ABDON CALDERON  (LA UNION) 
AZUAY,EL CARMEN DE PIJILI
AZUAY,ZHAGLLI (SHAGLLI)
AZUAY, SIGSIG
AZUAY,CUCHIL (CUTCHIL) 
AZUAY,JIMA (GIMA)
AZUAY,GUEL
AZUAY,LUDO
AZUAY,SAN BARTOLOME
AZUAY,SAN JOSE DE RARANGA
AZUAY,SAN FELIPE DE OÑA
